Pclass,Sex,Age,Parch,Fare,Cabin,Embarked,Title,relatives,Alone,Survived
1,1,0.03746428198487954,-0.4884406035463855,1.0038734137076393,-2.4885685599239635,0,3.0,-0.5899021075319003,1,1
3,0,-0.036848783719972154,-0.4884406035463855,-0.4697153454755278,0.4494861564478739,2,5.0,-0.5899021075319003,1,0
3,0,-0.4827271779490823,2.1691881825618955,0.6867009760167861,0.4494861564478739,0,5.0,5.996280921005266,0,0
3,0,-0.6313533093587858,-0.4884406035463855,-0.31346815640658243,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
1,0,-0.11116184942482385,-0.4884406035463855,0.26661122816075955,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
3,0,-0.25978798083452725,2.1691881825618955,-0.22973089040855488,0.4494861564478739,0,5.0,1.3859528010292494,0,0
3,0,0.33471654480428636,-0.4884406035463855,-0.4931842346408298,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
3,0,-0.33410104653937894,-0.4884406035463855,-0.6147351916173633,0.4494861564478739,0,5.0,-0.5899021075319003,1,1
3,0,0.18609041339458293,-0.4884406035463855,-0.4677655302538531,0.4494861564478739,0,5.0,-0.5899021075319003,1,1
3,0,-0.7799794407684891,-0.4884406035463855,-0.4715865692967128,0.2831811725022982,0,5.0,-0.5899021075319003,1,0
3,0,-0.33410104653937894,-0.4884406035463855,-0.4698706570526861,0.4494861564478739,2,5.0,-0.5899021075319003,1,0
3,0,0.18609041339458293,-0.4884406035463855,-0.4664407037884541,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
3,1,-0.8542925064733409,2.1691881825618955,0.6867009760167861,0.4494861564478739,0,3.0,5.996280921005266,0,0
3,0,-0.6685098422112116,-0.4884406035463855,-0.47907146458145267,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
2,0,0.33471654480428636,-0.4884406035463855,-0.3714760948633167,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
3,1,0.11177734768973124,-0.4884406035463855,-0.4677655302538531,0.4494861564478739,0,3.0,-0.5899021075319003,1,0
1,0,1.3007863989673585,-0.4884406035463855,0.3583011953988232,-2.155958592032812,0,5.0,-0.5899021075319003,1,0
3,0,0.03746428198487954,-0.4884406035463855,-0.4641016740119729,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
2,0,0.11177734768973124,-0.4884406035463855,-0.3714760948633167,0.4494861564478739,0,5.0,-0.5899021075319003,1,1
2,0,-0.4827271779490823,-0.4884406035463855,-0.3714760948633167,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
2,1,1.5237255960819136,-0.4884406035463855,-0.418256690392941,0.4494861564478739,0,3.0,-0.5899021075319003,1,1
3,0,-0.40841411224423063,-0.4884406035463855,-0.1628346388011921,0.4494861564478739,0,5.0,0.727334498175533,0,0
3,1,0.9292210704430999,-0.4884406035463855,-0.4641016740119729,0.4494861564478739,0,6.0,-0.5899021075319003,1,0
3,0,-0.11116184942482385,-0.4884406035463855,-0.46885832496542507,0.4494861564478739,0,5.0,-0.5899021075319003,1,0
